rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
66,"spotify:track:2IL2asrtx7XM1y8fu2RMnR","Da-iCE","CITRUS","avex trax",8,65,716,"61725"
67,"spotify:track:5KLL3cZEyuSJRvyS84o4Df","ano","ちゅ、多様性。","Toy's Factory",54,66,21,"61099"
68,"spotify:track:0Xn30nT5EKFPsWvpiJ2Iav","back number","オールドファッション","Universal Music LLC",55,71,396,"60807"
69,"spotify:track:1klq7dgG1Pz0ijci5Pmae1","Stray Kids","CASE 143","Sony Music Labels Inc.",59,69,68,"60607"
70,"spotify:track:7LPL74iMxXZ4hEjCwmLMae","Vaundy","napori","株式会社SDR",16,73,751,"58651"
71,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",58,58,124,"58431"
72,"spotify:track:7ncPjJBktLEOpstY5JOUMK","King Gnu","一途","Sony Music Labels Inc.",1,70,370,"58306"
73,"spotify:track:3PK5ERLCyMuQ5Cb89GbZVL","Takaya Kawasaki","魔法の絨毯","Warner Music D.N.A.",13,74,820,"58099"
74,"spotify:track:5PeXak0Ox3JmH2oor0qnGt","Vaundy","恋風邪にのせて","SDR Inc.",13,76,282,"57664"
75,"spotify:track:0loZ1KfQSLJxYR0Y7dImKN","YOASOBI","海のまにまに","YOASOBI",75,80,23,"57434"
76,"spotify:track:0ky07Oq85l9zx7e427XGgC","TK from Ling tosite sigure","first death","Sony Music Labels Inc.",56,75,14,"56844"
77,"spotify:track:0tJ6d01rh2gTbpFlY1mYJZ","Mrs. GREEN APPLE","私は最強","Universal Music LLC",31,78,36,"56823"
78,"spotify:track:2wRKOmpe6I7q6k69bkjuFU","WEDNESDAY CAMPANELLA","エジソン","WM Japan",7,90,186,"56783"
79,"spotify:track:2MmgGuQzr0kkiA04lMdPXW","MAISONdes & 花譜 & ツミキ","トウキョウ・シャンディ・ランデヴ","Sony Music Labels Inc.",79,97,31,"56411"
80,"spotify:track:6wDntdm888mDo458RaYjGl","Official HIGE DANdism","Cry Baby","IRORI Records",3,77,587,"56256"
81,"spotify:track:6uhIF5J5Txaie0is2nXdxU","YOASOBI","怪物","YOASOBI",4,82,707,"55929"
82,"spotify:track:6ZiEWet0uFRwWBCEKCQ8rY","King Gnu","逆夢","Sony Music Labels Inc.",1,81,356,"55828"
83,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",5,72,1612,"55776"
84,"spotify:track:70uJr9I7fSA0DUrnSzyCvZ","Tokyo Ska Paradise Orchestra & 石原慎也","紋白蝶 - feat. 石原慎也 (Saucy Dog)","cutting edge/JUSTA RECORD",58,79,30,"55674"
85,"spotify:track:0lizgQ7Qw35od7CYaoMBZb","Ariana Grande","Santa Tell Me","Universal Records",2,89,167,"55611"
86,"spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz","NAYEON","POP!","WM Japan",7,86,173,"55079"
87,"spotify:track:3XYRV7ZSHqIRDG87DKTtry","BTS","Permission to Dance","BIGHIT MUSIC",1,94,523,"55075"
88,"spotify:track:04TshWXkhV1qkqHzf31Hn6","Kenshi Yonezu","Lemon","Sony Music Labels Inc.",4,93,862,"54996"
89,"spotify:track:1ihCiJaXRl4f6Sy4LJov5z","SPITZ","チェリー","Universal Music LLC",23,91,1469,"54845"
90,"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Wham!","Last Christmas","Epic",2,101,164,"54665"
91,"spotify:track:3QIAwtEEDOrv0g5NKCGrXZ","back number","花束","Universal Music LLC",50,84,1161,"54150"
92,"spotify:track:0NEbWcrkt0Uca1pbjfmSDD","8LOOM","Come Again","Virgin Music Label And Artist Services (S&D)",57,83,50,"53832"
93,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI & Justin Bieber","STAY (with Justin Bieber)","Columbia",7,88,523,"53771"
94,"spotify:track:4xk70Qur2QeRmWIzWPC63V","Vaundy","踊り子","SDR Inc.",7,87,392,"53501"
95,"spotify:track:296nXCOv97WJNRWzIBQnoj","LE SSERAFIM","FEARLESS","SOURCE MUSIC",15,92,226,"53400"
96,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",7,85,253,"52941"
97,"spotify:track:2UdvMWk0Z83lMJPbawy2Sm","Macaroni Empitsu","ブルーベリー・ナイツ","TALTO",67,102,939,"52052"
98,"spotify:track:2PlbwoIVr25oita35jg9ht","Vaundy","花占い","株式会社SDR",17,96,527,"51666"
99,"spotify:track:42IF4VUNaIGc1oD74rHa8O","Aimer","Deep down","Sony Music Labels Inc.",99,103,7,"51462"
100,"spotify:track:3eg3igrhEhzk8bqqRz6XCt","Yuuri","レオ","Sony Music Labels Inc.",51,99,336,"51264"
101,"spotify:track:0akvgdebTkERlRqNKJZuFy","Da-iCE","スターマイン","avex trax",88,98,39,"51053"
102,"spotify:track:6qn31XzTa6YKXs5FZpAPgP","Chippoke Ohashi","常緑","TRIAD/Nippon Columbia Co. Ltd.",16,95,403,"50687"
103,"spotify:track:4OL2UHjasZp21Z1c2htqPj","YOAKE","ねぇ","YOAKE project",56,104,199,"48997"
104,"spotify:track:7FiTlLKW0Knj8rm7lMa9N7","Creepy Nuts & Ayase & Lilas Ikuta","ばかまじめ","Sony Music Labels Inc.",54,106,269,"48416"
105,"spotify:track:57MvUwzIzRJ0r21rnNU1s1","Vaundy","不可幸力","株式会社SDR",18,105,879,"48149"
106,"spotify:track:3bbIIVIwBoLqVcLebiEJFo","Creepy Nuts","のびしろ","Sony Music Labels Inc.",53,100,470,"48019"
107,"spotify:track:7f9DsQEsIoeTwKxV6shsom","back number","恋","Universal Music LLC",81,112,96,"47657"
108,"spotify:track:2SihT7AVMiI2VtaAyVIcnO","Macaroni Empitsu","恋人ごっこ","TALTO",30,108,942,"47013"
109,"spotify:track:3hBAYbAECEix9raaTq8S3H","back number","ヒロイン","Universal Music LLC",35,115,831,"46715"
110,"spotify:track:6tkSMR8bEIfEcJn7ybJtSP","HENTAI SHINSHI CLUB","YOKAZE","TOY'S FACTORY",14,116,742,"46640"
